Filename,Condition,BioReplicate,Run
sajict_L140907_SW_100-1,high,100-1,1
fbetty_L151027_SW_100-1C,high,100-2,2
sajict_L140907_SW_126-1,low,126-1,3
fbetty_L151027_SW_126-1,low,126-2,4
sajict_L140907_SW_137-1,low,137-1,5
fbetty_L151027_SW_137-1,low,137-2,6
sajict_L140907_SW_148-1,low,148-1,7
fbetty_L151027_SW_148-1C,low,148-2,8
sajict_L140907_SW_163-1,low,163-1,9
fbetty_L151027_SW_163-1C,low,163-2,10
sajict_L140907_SW_201-1,high,201-1,11
fbetty_L151027_SW_201-1,high,201-2,12
sajict_L140907_SW_21-1B,high,21-1,13
sajict_L140907_SW_218-1,high,218-1,14
sajict_L140907_SW_22-1,intermediate,22-1,15
sajict_L140907_SW_222-1,low,222-1,16
fbetty_L151027_SW_222-1,low,222-2,17
sajict_L140907_SW_25-1B,intermediate,25-1,18
sajict_L140907_SW_26-1,intermediate,26-1,19
sajict_L140907_SW_276-1,low,276-1,20
fbetty_L151027_SW_276-1C,low,276-2,21
sajict_L140907_SW_285-1,high,285-1,22
fbetty_L151027_SW_285-1,high,285-2,23
sajict_L140907_SW_289-1,high,289-1,24
sajict_L140907_SW_291-1,high,291-1,25
fbetty_L151027_SW_291-1C,high,291-2,26
sajict_L140907_SW_296-1,intermediate,296-1,27
sajict_L140907_SW_299-1,high,299-1,28
fbetty_L151027_SW_299-1C,high,299-2,29
sajict_L140907_SW_31-1,intermediate,31-1,30
fbetty_L151027_SW_31-1,intermediate,31-2,31
sajict_L140907_SW_317-1,low,317-1,32
fbetty_L151027_SW_317-1,low,317-2,33
sajict_L140907_SW_319-1,intermediate,319-1,34
sajict_L140907_SW_320-1,intermediate,320-1,35
sajict_L140907_SW_339-1,high,339-1,36
fbetty_L151027_SW_339-1,high,339-2,37
sajict_L140907_SW_385-1B,low,355-1,38
fbetty_L151027_SW_355-1,low,355-2,39
sajict_L140907_SW_46-1,low,46-1,40
fbetty_L151027_SW_46-1,low,46-2,41
sajict_L140907_SW_49-1,intermediate,49-1,42
sajict_L140907_SW_53-1,low,53-1,43
fbetty_L151027_SW_53-1,low,53-2,44
sajict_L140907_SW_57-1,intermediate,57-1,45
fbetty_L151027_SW_57-1,intermediate,57-2,46
sajict_L140907_SW_79-1,intermediate,79-1,47
sajict_L140907_SW_83-1,intermediate,83-1,48
fbetty_L151027_SW_83-1C,intermediate,83-2,49
sajict_L140907_SW_87-1,intermediate,87-1,50
sajict_L140907_SW_92-1,low,92-1,51
fbetty_L151027_SW_92-1,low,92-2,52
fbetty_L151027_SW_149-1,low,149-2,53
fbetty_L151027_SW_12-1,low,12-2,54
fbetty_L151027_SW_55-1,high,55-2,55
fbetty_L151027_SW_283-1,high,283-2,56
fbetty_L151027_SW_125-1C,low,125-2,57
sajict_L140907_SW_R1, NA, R1, 58
sajict_L140907_SW_R2, NA, R2, 59
